Code,Description,Procedure_Category,Is_Top_Pareto
28163009,Skin test for tuberculosis,Unknown,false
287664005,Bilateral tubal ligation,Unknown,false
288086009,Suture open wound,Unknown,false
29303009,Electrocardiographic procedure,Unknown,false
301807007,Removal of subcutaneous contraceptive,Unknown,false
305351004,Admit to ICU (procedure),Unknown,false
305428000,Admission to orthopedic department,Unknown,false
310417005,Certification procedure (procedure),Unknown,true
310861008,Chlamydia antigen test,Unknown,false
311555007,Speech and language therapy regime (regime/therapy,Unknown,false
311791003,Information gathering (procedure),Unknown,false
31208007,Medical induction of labor,Unknown,false
312681000,Bone density scan (procedure),Unknown,true
315639002,Initial patient assessment (procedure),Unknown,true
31676001,Human immunodeficiency virus antigen test,Unknown,false
33195004,Teleradiotherapy procedure (procedure),Unknown,true
35025007,Manual pelvic examination (procedure),Unknown,false
367336001,Chemotherapy (procedure),Unknown,false
370789001,Development of individualized plan of care (procedure),Unknown,true
371908008,Oxygen administration by mask (procedure),Unknown,false
384700001,Injection of tetanus antitoxin,Unknown,false
385763009,Hospice care (regime/therapy),Unknown,true
385781007,Home health aide service (regime/therapy),Unknown,false
386394001,Pregnancy termination care,Unknown,false
392091000,Care regimes assessment (procedure),Unknown,false
395123002,Urine screening test for diabetes,Unknown,false
396487001,Sentinel lymph node biopsy (procedure),Unknown,false
398171003,Hearing examination (procedure),Unknown,true
399014008,Vaccination for diphtheria pertussis and tetanus,Unknown,false
399208008,Plain chest X-ray (procedure),Unknown,false
40701008,Echocardiography (procedure),Unknown,true
409023009,Professional / ancillary services care (regime/therapy),Unknown,false
410006001,Digital examination of rectum,Unknown,false
410401003,Nursing care/supplementary surveillance (regime/therapy),Unknown,true
415070008,Percutaneous coronary intervention,Unknown,false
415300000,Review of systems (procedure),Unknown,false
417511005,Referral to home health care service (procedure),Unknown,false
418891003,Computed tomography of chest and abdomen,Unknown,false
423475008,Heart failure education (procedure),Unknown,false
426701000119108,Ultrasonography of abdomen right upper quadrant and epigastrium,Unknown,false
428211000124100,Assessment of substance use (procedure),Unknown,false
430193006,Medication Reconciliation (procedure),Unknown,true
430701006,Resuscitation using intravenous fluid (procedure),Unknown,false
43075005,Partial resection of colon,Unknown,false
431182000,Placing subject in prone position (procedure),Unknown,false
432231006,Fine needle aspiration biopsy of lung (procedure),Unknown,false
433112001,Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance,Unknown,false
433114000,Human epidermal growth factor receptor 2 gene detection by immunohistochemistry (procedure),Unknown,false
434363004,Human epidermal growth factor receptor 2 gene detection by fluorescence in situ hybridization (procedure),Unknown,false
443497002,Excision of sentinel lymph node (procedure),Unknown,false
443529005,Screening for chromosomal aneuploidy in prenatal amniotic fluid,Unknown,false
44608003,Blood typing RH typing,Unknown,false
447365002,Insertion of biventricular implantable cardioverter defibrillator,Unknown,false
449214001,Transfer to stepdown unit (procedure),Unknown,false
449381000124108,Discharge from skilled nursing facility (procedure),Unknown,false
454711000124102,Depression screening using Patient Health Questionnaire Two-Item score (procedure),Unknown,false
45595009,Laparoscopic Removal of Gall Bladder,Unknown,false
46706006,Replacement of contraceptive intrauterine device,Unknown,false
47758006,Hepatitis B Surface Antigen Measurement,Unknown,false
51116004,RhD passive immunization,Unknown,false
52734007,Total replacement of hip,Unknown,false
52765003,Intubation,Unknown,false
54550000,Seizure Count Cerebral Cortex Electroencephalogram (EEG),Unknown,false
58000006,Patient discharge (procedure),Unknown,false
5880005,Physical examination following birth,Unknown,true
60027007,X-ray or wrist,Unknown,false
63332003,History AND physical examination (procedure),Unknown,false
65200003,Insertion of intrauterine contraceptive device,Unknown,false
65546002,Extraction of wisdom tooth,Unknown,false
65575008,Biopsy of prostate,Unknown,false
65588006,Premature birth of newborn,Unknown,false
66348005,Childbirth,Unknown,false
68254000,Removal of intrauterine device,Unknown,false
69031006,Excision of breast tissue (procedure),Unknown,false
698354004,Magnetic resonance imaging for measurement of brain volume (procedure),Unknown,false
699253003,Surgical manipulation of joint of knee,Unknown,false
703423002,Combined chemotherapy and radiation therapy (procedure),Unknown,true
710824005,Assessment of health and social care needs (procedure),Unknown,true
710841007,Assessment of anxiety (procedure),Unknown,false
711069006,Coordination of care plan (procedure),Unknown,false
713106006,Screening for drug abuse (procedure),Unknown,false
714812005,Induced termination of pregnancy,Unknown,false
715252007,Depression screening using Patient Health Questionnaire Nine Item score (procedure),Unknown,false
71651007,Mammography (procedure),Unknown,true
73761001,Colonoscopy,Unknown,true
74016001,Knee X-ray,Unknown,false
76164006,Biopsy of colon,Unknown,false
762998009,Assessment using New York Heart Association Classification (procedure),Unknown,false
763302001,Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure),Unknown,false
76601001,Intramuscular injection,Unknown,true
76746007,Cardiovascular stress testing (procedure),Unknown,false
80146002,Appendectomy,Unknown,false
84478008,Occupational therapy (regime/therapy),Unknown,false
85548006,Episiotomy,Unknown,false
866148006,Screening for domestic abuse (procedure),Unknown,false
88039007,Transplant of lung (procedure),Unknown,false
90226004,Cytopathology procedure preparation of smear genital source,Unknown,false
90470006,Prostatectomy,Unknown,false
91251008,Physical therapy procedure (regime/therapy),Unknown,true
